id,sequence,description,invoice_label,name,amount,amount_type,type_tax_use,tax_group_id,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,description@ka,fiscal_position_ids,original_tax_ids,invoice_legal_notes
VAT_18_sale,1,VAT 18%,VAT 18%,18%,18.0,percent,sale,tax_group_vat_18,100,base,invoice,,დღგ 18%,fiscal_position_ge_national,,
,,,,,,,,,100,tax,invoice,ge_3330,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,ge_3330,,,,
VAT_18_purchase,2,VAT 18%,VAT 18%,18%,18.0,percent,purchase,tax_group_vat_18,100,base,invoice,,დღგ 18%,fiscal_position_ge_national,,
,,,,,,,,,100,tax,invoice,ge_3340,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,ge_3340,,,,
VAT_0_purchase,3,VAT Not Included,VAT Not Included,VAT Not Included,0.0,percent,purchase,tax_group_vat_0,100,base,invoice,,დღგ-ს არგადამხდელი,fiscal_position_ge_exempt,VAT_18_purchase,
,,,,,,,,,100,tax,invoice,ge_3340,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,ge_3340,,,,
VAT_0_diplomats,4,VAT Free Diplomatic,VAT Free - Diplomatic,VAT Free Diplomatic,0.0,percent,sale,tax_group_vat_0,100,base,invoice,,დღგ-სგან გათავისუფლებული,fiscal_position_ge_diplomatic,VAT_18_sale,
,,,,,,,,,100,tax,invoice,ge_3330,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,ge_3330,,,,
VAT_non_tax_sale,3,Non Taxable ( Goods ),Non Taxable,Non Taxable,0.0,fixed,sale,tax_group_non_taxable,100,base,invoice,,დაუბეგრავი (საქონელი),fiscal_position_ge_national,"",
,,,,,,,,,100,tax,invoice,,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,,,,,
VAT_non_tax_purchase,8,Non Taxable ( Goods ),Non Taxable,Non Taxable,0.0,fixed,purchase,tax_group_non_taxable,100,base,invoice,,დაუბეგრავი (საქონელი),fiscal_position_ge_national,"",
,,,,,,,,,100,tax,invoice,,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,,,,,
VAT_zero_sale,2,Zero Rate ( Goods ),0% rate,0% Rate,0.0,percent,sale,tax_group_vat_0,100,base,invoice,,ნულოვანი (საქონელი),fiscal_position_ge_national,"",
,,,,,,,,,100,tax,invoice,,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,,,,,
VAT_zero_purchase,7,Zero Rate ( Goods ),0% Rate,0% Rate,0.0,percent,purchase,tax_group_vat_0,100,base,invoice,,ნულოვანი (საქონელი),fiscal_position_ge_national,"",
,,,,,,,,,100,tax,invoice,,,,,
,,,,,,,,,100,base,refund,,,,,
,,,,,,,,,100,tax,refund,,,,,